stok_kodu;tip;olcu;yukseklik_mm;genislik_mm;et_kalinligi_mm;kg_m;kesit_alani_cm2;Ix_cm4;Iy_cm4;Wx_cm3;Wy_cm3;ix_cm;iy_cm;boya_yuzeyi_m2_m;agirlik_6m_kg;agirlik_12m_kg
KP-70X40X2.5;Dikdörtgen;70×40×2,5;70;40;2.5;3.99;5.09;32.32;13.5;9.23;6.75;2.52;1.63;0.211;23.97;47.94
KP-70X40X3;Dikdörtgen;70×40×3;70;40;3;4.72;6.01;37.31;15.5;10.66;7.75;2.49;1.61;0.21;28.3;56.6
KP-70X40X4;Dikdörtgen;70×40×4;70;40;4;6.08;7.75;45.95;18.88;13.13;9.44;2.44;1.56;0.206;36.49;72.99
KP-70X40X5;Dikdörtgen;70×40×5;70;40;5;7.34;9.36;52.88;21.51;15.11;10.75;2.38;1.52;0.203;44.07;88.13
KP-70X50X2;Dikdörtgen;70×50×2;70;50;2;3.56;4.54;31.48;18.76;8.99;7.5;2.63;2.03;0.233;21.37;42.74
KP-70X50X2.5;Dikdörtgen;70×50×2,5;70;50;2.5;4.39;5.59;38.01;22.59;10.86;9.04;2.61;2.01;0.231;26.32;52.65
KP-70X50X3;Dikdörtgen;70×50×3;70;50;3;5.19;6.61;44.05;26.1;12.59;10.44;2.58;1.99;0.23;31.12;62.25
KP-70X50X4;Dikdörtgen;70×50×4;70;50;4;6.71;8.55;54.67;32.22;15.62;12.89;2.53;1.94;0.226;40.26;80.52
KP-70X50X5;Dikdörtgen;70×50×5;70;50;5;8.13;10.36;63.46;37.2;18.13;14.88;2.48;1.9;0.223;48.78;97.55
KP-80X20X2;Dikdörtgen;80×20×2;80;20;2;2.93;3.74;25.19;2.64;6.3;2.64;2.6;0.84;0.193;17.6;35.2
KP-80X20X2.5;Dikdörtgen;80×20×2,5;80;20;2.5;3.6;4.59;30.08;3.08;7.52;3.08;2.56;0.82;0.191;21.61;43.23
KP-80X20X3;Dikdörtgen;80×20×3;80;20;3;4.25;5.41;34.45;3.44;8.61;3.44;2.52;0.8;0.19;25.47;50.95
KP-80X20X4;Dikdörtgen;80×20×4;80;20;4;5.45;6.95;41.67;3.95;10.42;3.95;2.45;0.75;0.186;32.72;65.45
KP-80X20X5;Dikdörtgen;80×20×5;80;20;5;6.56;8.36;46.94;4.24;11.74;4.24;2.37;0.71;0.183;39.36;78.71
KP-80X40X2;Dikdörtgen;80×40×2;80;40;2;3.56;4.54;37.36;12.72;9.34;6.36;2.87;1.67;0.233;21.37;42.74
KP-80X40X2.5;Dikdörtgen;80×40×2,5;80;40;2.5;4.39;5.59;45.11;15.26;11.28;7.63;2.84;1.65;0.231;26.32;52.65
KP-80X40X3;Dikdörtgen;80×40×3;80;40;3;5.19;6.61;52.25;17.56;13.06;8.78;2.81;1.63;0.23;31.12;62.25
